date,currency,usd_rate,volatility
2026-06-30,USD,1.0,Low
2026-07-01,USD,1.0,Low
2026-07-02,USD,1.0,Low
2026-07-03,USD,1.0,Low
2026-07-04,USD,1.0,Low
2026-07-05,USD,1.0,Low
2026-07-06,USD,1.0,Low
2026-07-07,USD,1.0,Low
2026-07-08,USD,1.0,Low
2026-07-09,USD,1.0,Low
2026-07-10,USD,1.0,Low
2026-07-11,USD,1.0,Low
2026-07-12,USD,1.0,Low
2026-07-13,USD,1.0,Low
2026-07-14,USD,1.0,Low
2026-07-15,USD,1.0,Low
2026-07-16,USD,1.0,Low
2026-07-17,USD,1.0,Low
2026-07-18,USD,1.0,Low
2026-07-19,USD,1.0,Low
2026-07-20,USD,1.0,Low
2026-07-21,USD,1.0,Low
2026-07-22,USD,1.0,Low
2026-07-23,USD,1.0,Low
2026-07-24,USD,1.0,Low
2026-07-25,USD,1.0,Low
2026-07-26,USD,1.0,Low
2026-07-27,USD,1.0,Low
2026-07-28,USD,1.0,Low
2026-07-29,USD,1.0,Low
2026-07-30,USD,1.0,Low
2026-07-31,USD,1.0,Low
2026-08-01,USD,1.0,Low
2026-08-02,USD,1.0,Low
2026-08-03,USD,1.0,Low
2026-08-04,USD,1.0,Low
2026-08-05,USD,1.0,Low
2026-08-06,USD,1.0,Low
2026-08-07,USD,1.0,Low
2026-08-08,USD,1.0,Low
2026-08-09,USD,1.0,Low
2026-08-10,USD,1.0,Low
2026-08-11,USD,1.0,Low
2026-08-12,USD,1.0,Low
2026-08-13,USD,1.0,Low
2026-08-14,USD,1.0,Low
2026-08-15,USD,1.0,Low
2026-08-16,USD,1.0,Low
2026-08-17,USD,1.0,Low
2026-08-18,USD,1.0,Low
2026-08-19,USD,1.0,Low
2026-08-20,USD,1.0,Low
2026-08-21,USD,1.0,Low
2026-08-22,USD,1.0,Low
2026-08-23,USD,1.0,Low
2026-08-24,USD,1.0,Low
2026-08-25,USD,1.0,Low
2026-08-26,USD,1.0,Low
2026-08-27,USD,1.0,Low
2026-08-28,USD,1.0,Low
2026-08-29,USD,1.0,Low
2026-08-30,USD,1.0,Low
2026-08-31,USD,1.0,Low
2026-09-01,USD,1.0,Low
2026-09-02,USD,1.0,Low
2026-09-03,USD,1.0,Low
2026-09-04,USD,1.0,Low
2026-09-05,USD,1.0,Low
2026-09-06,USD,1.0,Low
2026-09-07,USD,1.0,Low
2026-09-08,USD,1.0,Low
2026-09-09,USD,1.0,Low
2026-09-10,USD,1.0,Low
2026-09-11,USD,1.0,Low
2026-09-12,USD,1.0,Low
2026-09-13,USD,1.0,Low
2026-09-14,USD,1.0,Low
2026-09-15,USD,1.0,Low
2026-09-16,USD,1.0,Low
2026-09-17,USD,1.0,Low
2026-09-18,USD,1.0,Low
2026-09-19,USD,1.0,Low
2026-09-20,USD,1.0,Low
2026-09-21,USD,1.0,Low
2026-09-22,USD,1.0,Low
2026-09-23,USD,1.0,Low
2026-09-24,USD,1.0,Low
2026-09-25,USD,1.0,Low
2026-09-26,USD,1.0,Low
2026-09-27,USD,1.0,Low
2026-09-28,USD,1.0,Low
2026-09-29,USD,1.0,Low
2026-09-30,USD,1.0,Low
2026-10-01,USD,1.0,Low
2026-10-02,USD,1.0,Low
2026-10-03,USD,1.0,Low
2026-10-04,USD,1.0,Low
2026-10-05,USD,1.0,Low
2026-10-06,USD,1.0,Low
2026-10-07,USD,1.0,Low
2026-10-08,USD,1.0,Low
2026-10-09,USD,1.0,Low
2026-10-10,USD,1.0,Low
2026-10-11,USD,1.0,Low
2026-10-12,USD,1.0,Low
2026-10-13,USD,1.0,Low
2026-10-14,USD,1.0,Low
2026-10-15,USD,1.0,Low
2026-10-16,USD,1.0,Low
2026-10-17,USD,1.0,Low
2026-10-18,USD,1.0,Low
2026-10-19,USD,1.0,Low
2026-10-20,USD,1.0,Low
2026-10-21,USD,1.0,Low
2026-10-22,USD,1.0,Low
2026-10-23,USD,1.0,Low
2026-10-24,USD,1.0,Low
2026-10-25,USD,1.0,Low
2026-10-26,USD,1.0,Low
2026-10-27,USD,1.0,Low
2026-10-28,USD,1.0,Low
2026-10-29,USD,1.0,Low
2026-10-30,USD,1.0,Low
2026-10-31,USD,1.0,Low
2026-11-01,USD,1.0,Low
2026-11-02,USD,1.0,Low
2026-11-03,USD,1.0,Low
2026-11-04,USD,1.0,Low
2026-11-05,USD,1.0,Low
2026-11-06,USD,1.0,Low
2026-11-07,USD,1.0,Low
2026-11-08,USD,1.0,Low
2026-11-09,USD,1.0,Low
2026-11-10,USD,1.0,Low
2026-11-11,USD,1.0,Low
2026-11-12,USD,1.0,Low
2026-11-13,USD,1.0,Low
2026-11-14,USD,1.0,Low
2026-11-15,USD,1.0,Low
2026-11-16,USD,1.0,Low
2026-11-17,USD,1.0,Low
2026-11-18,USD,1.0,Low
2026-11-19,USD,1.0,Low
2026-11-20,USD,1.0,Low
2026-11-21,USD,1.0,Low
2026-11-22,USD,1.0,Low
2026-11-23,USD,1.0,Low
2026-11-24,USD,1.0,Low
2026-11-25,USD,1.0,Low
2026-11-26,USD,1.0,Low
2026-11-27,USD,1.0,Low
2026-11-28,USD,1.0,Low
2026-11-29,USD,1.0,Low
2026-11-30,USD,1.0,Low
2026-12-01,USD,1.0,Low
2026-12-02,USD,1.0,Low
2026-12-03,USD,1.0,Low
2026-12-04,USD,1.0,Low
2026-12-05,USD,1.0,Low
2026-12-06,USD,1.0,Low
2026-12-07,USD,1.0,Low
2026-12-08,USD,1.0,Low
2026-12-09,USD,1.0,Low
2026-12-10,USD,1.0,Low
2026-12-11,USD,1.0,Low
2026-12-12,USD,1.0,Low
2026-12-13,USD,1.0,Low
2026-12-14,USD,1.0,Low
2026-12-15,USD,1.0,Low
2026-12-16,USD,1.0,Low
2026-12-17,USD,1.0,Low
2026-12-18,USD,1.0,Low
2026-12-19,USD,1.0,Low
2026-12-20,USD,1.0,Low
2026-12-21,USD,1.0,Low
2026-12-22,USD,1.0,Low
2026-12-23,USD,1.0,Low
2026-12-24,USD,1.0,Low
2026-12-25,USD,1.0,Low
2026-12-26,USD,1.0,Low
2026-12-27,USD,1.0,Low
2026-12-28,USD,1.0,Low
2026-12-29,USD,1.0,Low
2026-12-30,USD,1.0,Low
2026-12-31,USD,1.0,Low
2026-01-01,EUR,0.9209,Low
2026-01-02,EUR,0.9207,Low
2026-01-03,EUR,0.9219,Low
2026-01-04,EUR,0.9247,Low
2026-01-05,EUR,0.9242,Low
2026-01-06,EUR,0.9238,Low
2026-01-07,EUR,0.9267,Low
2026-01-08,EUR,0.9281,Low
2026-01-09,EUR,0.9273,Low
2026-01-10,EUR,0.9283,Low
2026-01-11,EUR,0.9274,Low
2026-01-12,EUR,0.9265,Low
2026-01-13,EUR,0.927,Low
2026-01-14,EUR,0.9234,Low
2026-01-15,EUR,0.9203,Low
2026-01-16,EUR,0.9192,Low
2026-01-17,EUR,0.9174,Low
2026-01-18,EUR,0.9179,Low
2026-01-19,EUR,0.9163,Low
2026-01-20,EUR,0.9137,Low
2026-01-21,EUR,0.9164,Low
2026-01-22,EUR,0.9159,Low
2026-01-23,EUR,0.9161,Low
2026-01-24,EUR,0.9135,Low
2026-01-25,EUR,0.9125,Low
2026-01-26,EUR,0.9127,Low
2026-01-27,EUR,0.9106,Low
2026-01-28,EUR,0.9113,Low
2026-01-29,EUR,0.9102,Low
2026-01-30,EUR,0.9096,Low
2026-01-31,EUR,0.9085,Low
2026-02-01,EUR,0.9119,Low
2026-02-02,EUR,0.9119,Low
2026-02-03,EUR,0.9099,Low
2026-02-04,EUR,0.9114,Low
2026-02-05,EUR,0.9092,Low
2026-02-06,EUR,0.9096,Low
2026-02-07,EUR,0.906,Low
2026-02-08,EUR,0.9036,Low
2026-02-09,EUR,0.904,Low
2026-02-10,EUR,0.9053,Low
2026-02-11,EUR,0.9056,Low
2026-02-12,EUR,0.9054,Low
2026-02-13,EUR,0.9049,Low
2026-02-14,EUR,0.9022,Low
2026-02-15,EUR,0.9009,Low
2026-02-16,EUR,0.9001,Low
2026-02-17,EUR,0.902,Low
2026-02-18,EUR,0.9026,Low
2026-02-19,EUR,0.8994,Low
2026-02-20,EUR,0.9,Low
2026-02-21,EUR,0.8993,Low
2026-02-22,EUR,0.8981,Low
2026-02-23,EUR,0.8992,Low
2026-02-24,EUR,0.901,Low
2026-02-25,EUR,0.9027,Low
2026-02-26,EUR,0.9012,Low
2026-02-27,EUR,0.9006,Low
2026-02-28,EUR,0.9012,Low
2026-03-01,EUR,0.903,Low
2026-03-02,EUR,0.9021,Low
2026-03-03,EUR,0.9018,Low
2026-03-04,EUR,0.8998,Low
2026-03-05,EUR,0.8976,Low
2026-03-06,EUR,0.8991,Low
2026-03-07,EUR,0.9015,Low
2026-03-08,EUR,0.9014,Low
2026-03-09,EUR,0.9032,Low
2026-03-10,EUR,0.9039,Low
2026-03-11,EUR,0.9027,Low
2026-03-12,EUR,0.9034,Low
2026-03-13,EUR,0.9061,Low
2026-03-14,EUR,0.9061,Low
2026-03-15,EUR,0.9089,Low
2026-03-16,EUR,0.9041,Low
2026-03-17,EUR,0.9056,Low
2026-03-18,EUR,0.9058,Low
2026-03-19,EUR,0.9053,Low
2026-03-20,EUR,0.9054,Low
2026-03-21,EUR,0.9018,Low
2026-03-22,EUR,0.9014,Low
2026-03-23,EUR,0.9021,Low
2026-03-24,EUR,0.9047,Low
2026-03-25,EUR,0.9038,Low
2026-03-26,EUR,0.9023,Low
2026-03-27,EUR,0.9014,Low
2026-03-28,EUR,0.9031,Low
2026-03-29,EUR,0.9037,Low
2026-03-30,EUR,0.9027,Low
2026-03-31,EUR,0.9036,Low
2026-04-01,EUR,0.9038,Low
2026-04-02,EUR,0.9056,Low
2026-04-03,EUR,0.9043,Low
2026-04-04,EUR,0.9037,Low
2026-04-05,EUR,0.903,Low
2026-04-06,EUR,0.9004,Low
2026-04-07,EUR,0.9009,Low
2026-04-08,EUR,0.9014,Low
2026-04-09,EUR,0.9014,Low
2026-04-10,EUR,0.9009,Low
2026-04-11,EUR,0.8984,Low
2026-04-12,EUR,0.8976,Low
2026-04-13,EUR,0.897,Low
2026-04-14,EUR,0.8956,Low
2026-04-15,EUR,0.8953,Low
2026-04-16,EUR,0.896,Low
2026-04-17,EUR,0.8994,Low
2026-04-18,EUR,0.8997,Low
2026-04-19,EUR,0.9002,Low
2026-04-20,EUR,0.9,Low
2026-04-21,EUR,0.8966,Low
2026-04-22,EUR,0.8965,Low
2026-04-23,EUR,0.8966,Low
2026-04-24,EUR,0.9011,Low
2026-04-25,EUR,0.9007,Low
2026-04-26,EUR,0.9013,Low
2026-04-27,EUR,0.9012,Low
2026-04-28,EUR,0.8991,Low
2026-04-29,EUR,0.9011,Low
2026-04-30,EUR,0.9025,Low
2026-05-01,EUR,0.9039,Low
2026-05-02,EUR,0.9023,Low
2026-05-03,EUR,0.9048,Low
2026-05-04,EUR,0.9023,Low
2026-05-05,EUR,0.9033,Low
2026-05-06,EUR,0.9073,Low
2026-05-07,EUR,0.9055,Low
2026-05-08,EUR,0.9045,Low
2026-05-09,EUR,0.9047,Low
2026-05-10,EUR,0.9037,Low
2026-05-11,EUR,0.9009,Low
2026-05-12,EUR,0.9011,Low
2026-05-13,EUR,0.8991,Low
2026-05-14,EUR,0.9,Low
2026-05-15,EUR,0.8983,Low
2026-05-16,EUR,0.9011,Low
2026-05-17,EUR,0.8997,Low
2026-05-18,EUR,0.8991,Low
2026-05-19,EUR,0.9006,Low
2026-05-20,EUR,0.8984,Low
2026-05-21,EUR,0.8988,Low
2026-05-22,EUR,0.9011,Low
2026-05-23,EUR,0.8982,Low
2026-05-24,EUR,0.8986,Low
2026-05-25,EUR,0.899,Low
2026-05-26,EUR,0.9004,Low
2026-05-27,EUR,0.8982,Low
2026-05-28,EUR,0.8958,Low
2026-05-29,EUR,0.8968,Low
2026-05-30,EUR,0.8973,Low
2026-05-31,EUR,0.8978,Low
2026-06-01,EUR,0.8984,Low
2026-06-02,EUR,0.8972,Low
2026-06-03,EUR,0.8976,Low
2026-06-04,EUR,0.8981,Low
2026-06-05,EUR,0.8968,Low
2026-06-06,EUR,0.9002,Low
2026-06-07,EUR,0.901,Low
2026-06-08,EUR,0.8989,Low
2026-06-09,EUR,0.9001,Low
2026-06-10,EUR,0.8983,Low
2026-06-11,EUR,0.8997,Low
2026-06-12,EUR,0.9018,Low
2026-06-13,EUR,0.9003,Low
2026-06-14,EUR,0.9021,Low
2026-06-15,EUR,0.9028,Low
2026-06-16,EUR,0.9043,Low
2026-06-17,EUR,0.9077,Low
2026-06-18,EUR,0.9073,Low
2026-06-19,EUR,0.9059,Low
2026-06-20,EUR,0.9043,Low
2026-06-21,EUR,0.9028,Low
2026-06-22,EUR,0.9027,Low
2026-06-23,EUR,0.9033,Low
2026-06-24,EUR,0.9038,Low
2026-06-25,EUR,0.9053,Low
2026-06-26,EUR,0.9053,Low
2026-06-27,EUR,0.9079,Low
2026-06-28,EUR,0.9075,Low
2026-06-29,EUR,0.9124,Low
2026-06-30,EUR,0.9135,Low
2026-07-01,EUR,0.912,Low
2026-07-02,EUR,0.91,Low
2026-07-03,EUR,0.9109,Low
2026-07-04,EUR,0.9105,Low
2026-07-05,EUR,0.9118,Low
2026-07-06,EUR,0.9127,Low
2026-07-07,EUR,0.9125,Low
2026-07-08,EUR,0.911,Low
2026-07-09,EUR,0.9082,Low
2026-07-10,EUR,0.9074,Low
2026-07-11,EUR,0.909,Low
2026-07-12,EUR,0.9094,Low
2026-07-13,EUR,0.9071,Low
2026-07-14,EUR,0.9074,Low
2026-07-15,EUR,0.9081,Low
2026-07-16,EUR,0.9065,Low
2026-07-17,EUR,0.9068,Low
2026-07-18,EUR,0.9069,Low
2026-07-19,EUR,0.9048,Low
2026-07-20,EUR,0.9055,Low
2026-07-21,EUR,0.9065,Low
2026-07-22,EUR,0.9084,Low
2026-07-23,EUR,0.9103,Low
2026-07-24,EUR,0.9078,Low
2026-07-25,EUR,0.9061,Low
2026-07-26,EUR,0.9071,Low
2026-07-27,EUR,0.908,Low
2026-07-28,EUR,0.9089,Low
2026-07-29,EUR,0.9159,Low
2026-07-30,EUR,0.917,Low
2026-07-31,EUR,0.9191,Low
2026-08-01,EUR,0.9208,Low
2026-08-02,EUR,0.922,Low
2026-08-03,EUR,0.9214,Low
2026-08-04,EUR,0.9228,Low
2026-08-05,EUR,0.9214,Low
2026-08-06,EUR,0.921,Low
2026-08-07,EUR,0.9201,Low
2026-08-08,EUR,0.9202,Low
2026-08-09,EUR,0.9245,Low
2026-08-10,EUR,0.921,Low
2026-08-11,EUR,0.9223,Low
2026-08-12,EUR,0.9193,Low
2026-08-13,EUR,0.9185,Low
2026-08-14,EUR,0.9205,Low
2026-08-15,EUR,0.9206,Low
2026-08-16,EUR,0.9186,Low
2026-08-17,EUR,0.9173,Low
2026-08-18,EUR,0.9185,Low
2026-08-19,EUR,0.9172,Low
2026-08-20,EUR,0.9176,Low
2026-08-21,EUR,0.9177,Low
2026-08-22,EUR,0.9165,Low
2026-08-23,EUR,0.9204,Low
2026-08-24,EUR,0.9216,Low
2026-08-25,EUR,0.9178,Low
2026-08-26,EUR,0.9182,Low
2026-08-27,EUR,0.917,Low
2026-08-28,EUR,0.9185,Low
2026-08-29,EUR,0.9171,Low
2026-08-30,EUR,0.9169,Low
2026-08-31,EUR,0.9178,Low
2026-09-01,EUR,0.9194,Low
2026-09-02,EUR,0.9172,Low
2026-09-03,EUR,0.9166,Low
2026-09-04,EUR,0.9157,Low
2026-09-05,EUR,0.9145,Low
2026-09-06,EUR,0.9177,Low
2026-09-07,EUR,0.9185,Low
2026-09-08,EUR,0.9161,Low
2026-09-09,EUR,0.9178,Low
2026-09-10,EUR,0.9217,Low
2026-09-11,EUR,0.9236,Low
2026-09-12,EUR,0.9208,Low
2026-09-13,EUR,0.9199,Low
2026-09-14,EUR,0.9223,Low
2026-09-15,EUR,0.921,Low
2026-09-16,EUR,0.9218,Low
2026-09-17,EUR,0.9232,Low
2026-09-18,EUR,0.9215,Low
2026-09-19,EUR,0.9214,Low
2026-09-20,EUR,0.9154,Low
2026-09-21,EUR,0.9135,Low
2026-09-22,EUR,0.9131,Low
2026-09-23,EUR,0.9108,Low
2026-09-24,EUR,0.9138,Low
2026-09-25,EUR,0.9111,Low
2026-09-26,EUR,0.9103,Low
2026-09-27,EUR,0.9106,Low
2026-09-28,EUR,0.9132,Low
2026-09-29,EUR,0.9106,Low
2026-09-30,EUR,0.9127,Low
2026-10-01,EUR,0.9127,Low
2026-10-02,EUR,0.9109,Low
2026-10-03,EUR,0.9118,Low
2026-10-04,EUR,0.9121,Low
2026-10-05,EUR,0.911,Low
2026-10-06,EUR,0.9112,Low
2026-10-07,EUR,0.9105,Low
2026-10-08,EUR,0.9107,Low
2026-10-09,EUR,0.9119,Low
2026-10-10,EUR,0.9148,Low
2026-10-11,EUR,0.9125,Low
2026-10-12,EUR,0.9164,Low
2026-10-13,EUR,0.9128,Low
2026-10-14,EUR,0.9125,Low
2026-10-15,EUR,0.9136,Low
2026-10-16,EUR,0.9141,Low
2026-10-17,EUR,0.913,Low
2026-10-18,EUR,0.9126,Low
2026-10-19,EUR,0.9117,Low
2026-10-20,EUR,0.9106,Low
2026-10-21,EUR,0.9122,Low
2026-10-22,EUR,0.9128,Low
2026-10-23,EUR,0.9116,Low
2026-10-24,EUR,0.9132,Low
2026-10-25,EUR,0.9138,Low
2026-10-26,EUR,0.9153,Low
2026-10-27,EUR,0.9164,Low
2026-10-28,EUR,0.9149,Low
2026-10-29,EUR,0.9139,Low
2026-10-30,EUR,0.9152,Low
2026-10-31,EUR,0.9164,Low
2026-11-01,EUR,0.9163,Low
2026-11-02,EUR,0.9165,Low
2026-11-03,EUR,0.9189,Low
2026-11-04,EUR,0.9178,Low
2026-11-05,EUR,0.9188,Low
2026-11-06,EUR,0.9184,Low
2026-11-07,EUR,0.918,Low
2026-11-08,EUR,0.92,Low
2026-11-09,EUR,0.9216,Low
2026-11-10,EUR,0.9231,Low
2026-11-11,EUR,0.9255,Low
2026-11-12,EUR,0.9255,Low
2026-11-13,EUR,0.9268,Low
2026-11-14,EUR,0.9262,Low
2026-11-15,EUR,0.9268,Low
2026-11-16,EUR,0.9265,Low
2026-11-17,EUR,0.9267,Low
2026-11-18,EUR,0.9278,Low
2026-11-19,EUR,0.9263,Low
2026-11-20,EUR,0.9302,Low
2026-11-21,EUR,0.9283,Low
2026-11-22,EUR,0.9261,Low
2026-11-23,EUR,0.9282,Low
2026-11-24,EUR,0.9297,Low
2026-11-25,EUR,0.9308,Low
2026-11-26,EUR,0.932,Low
2026-11-27,EUR,0.932,Low
2026-11-28,EUR,0.9303,Low
2026-11-29,EUR,0.9305,Low
2026-11-30,EUR,0.9292,Low
2026-12-01,EUR,0.931,Low
2026-12-02,EUR,0.9307,Low
2026-12-03,EUR,0.9292,Low
2026-12-04,EUR,0.9286,Low
2026-12-05,EUR,0.9294,Low
2026-12-06,EUR,0.9283,Low
2026-12-07,EUR,0.9268,Low
2026-12-08,EUR,0.9272,Low
2026-12-09,EUR,0.9277,Low
2026-12-10,EUR,0.9268,Low
2026-12-11,EUR,0.9259,Low
2026-12-12,EUR,0.9263,Low
2026-12-13,EUR,0.9236,Low
2026-12-14,EUR,0.921,Low
2026-12-15,EUR,0.9197,Low
2026-12-16,EUR,0.9193,Low
2026-12-17,EUR,0.9199,Low
2026-12-18,EUR,0.9226,Low
2026-12-19,EUR,0.9242,Low
2026-12-20,EUR,0.9239,Low
2026-12-21,EUR,0.9238,Low
2026-12-22,EUR,0.922,Low
2026-12-23,EUR,0.922,Low
2026-12-24,EUR,0.9214,Low
2026-12-25,EUR,0.922,Low
2026-12-26,EUR,0.9205,Low
2026-12-27,EUR,0.9215,Low
2026-12-28,EUR,0.9243,Low
2026-12-29,EUR,0.9241,Low
2026-12-30,EUR,0.9248,Low
2026-12-31,EUR,0.9261,Low
2026-01-01,GBP,0.7894,Low
2026-01-02,GBP,0.7897,Low
2026-01-03,GBP,0.7897,Low
2026-01-04,GBP,0.7899,Low
2026-01-05,GBP,0.7887,Low
2026-01-06,GBP,0.7887,Low
2026-01-07,GBP,0.7895,Low
2026-01-08,GBP,0.7918,Low
2026-01-09,GBP,0.7933,Low
2026-01-10,GBP,0.7967,Low
2026-01-11,GBP,0.7955,Low
2026-01-12,GBP,0.7969,Low
2026-01-13,GBP,0.7972,Low
2026-01-14,GBP,0.8007,Low
2026-01-15,GBP,0.7994,Low
2026-01-16,GBP,0.798,Low
2026-01-17,GBP,0.7971,Low
2026-01-18,GBP,0.7937,Low
2026-01-19,GBP,0.7929,Low
2026-01-20,GBP,0.7917,Low
2026-01-21,GBP,0.7919,Low
2026-01-22,GBP,0.7924,Low
2026-01-23,GBP,0.7954,Low
2026-01-24,GBP,0.7969,Low
2026-01-25,GBP,0.796,Low
2026-01-26,GBP,0.7946,Low
2026-01-27,GBP,0.7954,Low
2026-01-28,GBP,0.7933,Low
2026-01-29,GBP,0.7962,Low
2026-01-30,GBP,0.798,Low
2026-01-31,GBP,0.7973,Low
2026-02-01,GBP,0.7946,Low
2026-02-02,GBP,0.7967,Low
2026-02-03,GBP,0.7965,Low
2026-02-04,GBP,0.7985,Low
2026-02-05,GBP,0.7959,Low
2026-02-06,GBP,0.795,Low
2026-02-07,GBP,0.795,Low
2026-02-08,GBP,0.7951,Low
2026-02-09,GBP,0.7944,Low
2026-02-10,GBP,0.7954,Low
2026-02-11,GBP,0.7937,Low
2026-02-12,GBP,0.7934,Low
2026-02-13,GBP,0.7936,Low
2026-02-14,GBP,0.7944,Low
